mu_freq_seq_r	mu_freq_seq_s	mu_freq_cdr1_r	mu_freq_cdr1_s	mu_freq_cdr2_r	mu_freq_cdr2_s	mu_freq_fwr1_r	mu_freq_fwr1_s	mu_freq_fwr2_r	mu_freq_fwr2_s	mu_freq_fwr3_r	mu_freq_fwr3_s
0.002777777777777778	0.005555555555555556	0	0	0.041666666666666664	0	0	0	0	0	0	0
0.0111731843575419	0.00558659217877095	0.08333333333333333	0.041666666666666664	0	0	0	0	0	0	0.008771929824561403	0.008771929824561403
0.008450704225352112	0.0028169014084507044	0	0	0	0	0	0	0	0	0.017543859649122806	0
0.005681818181818182	0.002840909090909091	0	0	0	0	0	0	0.0196078431372549	0	0	0
0	0.002840909090909091	0	0.041666666666666664	0	0	0	0	0	0	0	0
0.011428571428571429	0.002857142857142857	0.041666666666666664	0	0	0	0	0	0.0196078431372549	0	0.008771929824561403	0
0.0111731843575419	0.002793296089385475	0.041666666666666664	0	0	0	0	0	0	0	0.008771929824561403	0
0.0057306590257879654	0.0028653295128939827	0	0	0	0.041666666666666664	0	0	0	0	0.008771929824561403	0
0.0028169014084507044	0.011267605633802818	0	0.041666666666666664	0	0	0	0	0	0	0.008771929824561403	0
0.013927576601671309	0.002785515320334262	0.041666666666666664	0	0.041666666666666664	0	0	0	0.0196078431372549	0	0.017543859649122806	0
0	0.005747126436781609	0	0	0	0.041666666666666664	0	0	0	0	0	0.008771929824561403
0.008595988538681949	0.0057306590257879654	0	0	0	0	0	0	0.0196078431372549	0.0196078431372549	0.008771929824561403	0
0.01675977653631285	0.008379888268156424	0.041666666666666664	0.041666666666666664	0	0	0	0	0	0	0.017543859649122806	0
0.0029239766081871343	0.0029239766081871343	0	0	0	0	0	0	0	0	0.008771929824561403	0.008771929824561403
0.010810810810810811	0.008108108108108109	0.08333333333333333	0	0	0.03333333333333333	0	0	0	0	0.008771929824561403	0
0.018970189701897018	0.008130081300813009	0.041666666666666664	0.041666666666666664	0.06666666666666667	0	0	0	0.058823529411764705	0.0392156862745098	0	0
0.01675977653631285	0	0.041666666666666664	0	0	0	0	0	0.0392156862745098	0	0.008771929824561403	0
